[Thread for Client: PLAYER2] <<< broadcast:  b'MINECRAFT: PLAYERUPDATE: 2: PLAYERMOVED: [1, 16]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                '
[Thread for Client: PLAYER1] >>> broadcast:  b'MINECRAFT: PLAYERUPDATE: 1: PLAYERMOVED: [14, 1]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                '
[Thread for Client: PLAYER1] <<< broadcast:  b'MINECRAFT: PLAYERUPDATE: 1: PLAYERMOVED: [14, 1]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                '
[Thread for Client: PLAYER3] >>> broadcast:  b'MINECRAFT: PLAYERUPDATE: 3: PLAYERMOVED: [92, 74]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               '
[Thread for Client: PLAYER2] >>> broadcast:  b'MINECRAFT: PLAYERUPDATE: 2: PLAYERMOVED: [1, 15]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                '
[Thread for Client: PLAYER3] <<< broadcast:  b'MINECRAFT: PLAYERUPDATE: 3: PLAYERMOVED: [92, 74]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               '
[Thread for Client: PLAYER2] <<< broadcast:  b'MINECRAFT: PLAYERUPDATE: 2: PLAYERMOVED: [1, 15]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                '
[Thread for Client: PLAYER1] >>> broadcast:  b'MINECRAFT: PLAYERUPDATE: 1: PLAYERMOVED: [15, 1]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                '
[Thread for Client: PLAYER1] <<< broadcast:  b'MINECRAFT: PLAYERUPDATE: 1: PLAYERMOVED: [15, 1]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                '
[Thread for Client: PLAYER3] >>> broadcast:  b'MINECRAFT: PLAYERUPDATE: 3: PLAYERMOVED: [92, 75]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               '
[Thread for Client: PLAYER3] <<< broadcast:  b'MINECRAFT: PLAYERUPDATE: 3: PLAYERMOVED: [92, 75]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               '
[Thread for Client: PLAYER2] >>> broadcast:  b'MINECRAFT: PLAYERUPDATE: 2: PLAYERMOVED: [1, 14]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                '
[Thread for Client: PLAYER2] <<< broadcast:  b'MINECRAFT: PLAYERUPDATE: 2: PLAYERMOVED: [1, 14]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                '
[Thread for Client: PLAYER1] >>> broadcast:  b'MINECRAFT: PLAYERUPDATE: 1: PLAYERMOVED: [16, 1]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                '
[Thread for Client: PLAYER1] <<< broadcast:  b'MINECRAFT: PLAYERUPDATE: 1: PLAYERMOVED: [16, 1]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                '
[Thread for Client: PLAYER3] >>> broadcast:  b'MINECRAFT: PLAYERUPDATE: 3: PLAYERMOVED: [92, 76]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               '
[Thread for Client: PLAYER3] <<< broadcast:  b'MINECRAFT: PLAYERUPDATE: 3: PLAYERMOVED: [92, 76]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               '
[Thread for Client: PLAYER2] >>> broadcast:  b'MINECRAFT: PLAYERUPDATE: 2: PLAYERMOVED: [1, 13]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                '
